index,DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE,DISCREPANCY,GRADE_DIFFER,INS_DIFFER,DISCREPANCY_LEVEL,DISCREPANCY_S
84,Araria,Sikti,2019-2020,BR01P2R-13,T02-BOKANTARI TO PALASI PWD ROAD VIA KHORAGACHH ,30.1,1,1,1,1,0,0,0,0.0,0.0
89,Araria,Sikti,2020-2021,BR01P2R-37,T01-UFRAIL CHOWK TO BILLATEYBARI VIA TIRA,0.0,1,1,3,1,0,0,2,0.0,0.0
90,Araria,Sikti,2020-2021,BR01P2R-39,"T05-NEPAL BORDER JHALA CHOWK TO JAKIRPARAS, LAST BORDER ",0.0,1,1,1,1,0,0,0,0.0,0.0
97,Araria,Sikti,2020-2021,BR01P2R-49,"T05-NEPAL BORDER JHALA CHOWK TO JAKIRPARAS, LAST BORDER ",0.0,1,1,2,1,0,0,1,0.0,0.0
113,Arwal,Banshi Surajpur,2022-2023,BR38P3R01,"MRL10-SHERPUR TO PURAN VIA KURMI BIGHA , MALI",6.135,1,1,2,1,0,0,1,0.0,0.0
121,Arwal,Kaler,2022-2023,BR38P3R02,"MRL05-UPADHEA BIGHA TO PASRAMPU VIA KACHHARI BIGHA , BATHE",11.1,1,1,3,1,0,0,2,0.0,0.0
136,Aurangabad,Aurangabad,2017-2018,BR02RC006,O-Karma More to Bijoi High School via Karma - Pirauta - Deoria - Phesar-  Alampur- Bakan - Doshma- Neura More - Rajoi -Bijoi Road,30.385,1,1,1,1,0,0,0,0.0,0.0
142,Aurangabad,Aurangabad,2020-2021,BR02P3R01,MRL13-T01 TO KAPASIA ,5.53,1,1,2,1,0,0,1,0.0,0.0
143,Aurangabad,Aurangabad,2020-2021,BR02P3R02,T15-NH-1 BABHANDIH TO PATANWAN NH-2VIA SUSNAR,6.83,1,1,2,1,0,0,1,0.0,0.0
144,Aurangabad,Aurangabad,2020-2021,BR02R-826,L082-T03 TO IGUNA (TRACK82),0.0,1,1,1,1,0,0,0,0.0,0.0
145,Aurangabad,Aurangabad,2021-2022,BR02RC303,O-NH-139 Jharkhand Border Maharajganj Se Baluganj - Bedhani - Deo- Ora - Sokya - Baghoi Railway Station - Deohara - Baghoigala - Deokund - Basatar - Keyal Hote huye Mehendiya NH-98 Tak.Km 39.00 to 62.1,19.1,1,1,5,1,0,0,4,0.0,0.0
146,Aurangabad,Aurangabad,2022-2023,BR02P3R14,MRL06-T02 To Barun ,6.01,1,1,2,1,0,0,1,0.0,0.0
155,Aurangabad,Daudnagar,2020-2021,BR02P3R03,MRL14-JINORIYA NH-1 TO MANAR ,5.7,1,1,2,1,0,0,1,0.0,0.0
167,Aurangabad,Deo,2020-2021,BR02P3R04,MRL03-DADHAPA TO ADRI RCD ROAD VIA NARCHAI BAHUARA GURGAIA,7.57,1,1,3,1,0,0,2,0.0,0.0
170,Aurangabad,Deo,2022-2023,BR02RC323,Bishrampur-Murgadha-Narayanpur Road,0.0,1,1,4,1,0,0,3,0.0,0.0
171,Aurangabad,Deo,2022-2023,BR02RC324,Bishrampur-Murgadha-Narayanpur Road,0.0,1,1,5,1,0,0,4,0.0,0.0
173,Aurangabad,Deo,2022-2023,BR02RC326,Paraiya-Ganjoi Road,0.0,1,1,3,1,0,0,2,0.0,0.0
195,Aurangabad,Haspura,2020-2021,BR02P3R05,MRL10-AMJHAR-SHARIF T03 TO SHAHPUR,5.06,1,1,2,1,0,0,1,0.0,0.0
196,Aurangabad,Haspura,2020-2021,BR02P3R06,MRL01-HASPURA T02 TO JAITPUR,7.81,1,1,2,1,0,0,1,0.0,0.0
211,Aurangabad,Kutumba,2022-2023,BR02RC315,O-AMBA NABINAGAR ROAD TO CHAKUA,7.15,1,1,3,1,0,0,2,0.0,0.0
218,Aurangabad,Madanpur,2020-2021,BR02P3R07,T03-War Tala Dharu Bigha TO KUSHAHA,8.47,1,1,2,1,0,0,1,0.0,0.0
220,Aurangabad,Madanpur,2020-2021,BR02R-830,L122-L034 To jamuain (TRACK122),0.0,1,1,1,1,0,0,0,0.0,0.0
246,Aurangabad,Nabinagar,2020-2021,BR02P3R09,T11-SIRIS MORE TO NABINAGAR,24.98,1,1,2,1,0,0,1,0.0,0.0
247,Aurangabad,Nabinagar,2020-2021,BR02P3R10,T17-TANDWA TO KHAPARMANDA VIA BELA SARATU SON SAGAR,9.35,1,1,2,1,0,0,1,0.0,0.0
261,Aurangabad,Obra,2019-2020,BR02P2R-04,L047-T04 TO KADIAHI KHURD,5.17,1,1,1,1,0,0,0,0.0,0.0
263,Aurangabad,Obra,2020-2021,BR02P3R12,"MRL01-ATTHAR BIGHA TO BHUIYA TOLA VIA KAJHWAN , AUKONA",8.586,1,1,2,1,0,0,1,0.0,0.0
264,Aurangabad,Obra,2020-2021,BR02P3R13,"MRL16-NH-98 TO ARURA VIA IMAMGANJ , TARA , MANAR",9.3,1,1,2,1,0,0,1,0.0,0.0
285,Aurangabad,Rafiganj,2022-2023,BR02P3R19,T11-GOH RAFIGANJ ROAD TO PIRAHI SALEMPUR VIA SIHAULI,5.1,1,1,3,1,0,0,2,0.0,0.0
304,Banka,Amarpur,2022-2023,BR03P3R01,MRL06-SAMUKHIYA MORE (KAKNA ) TO ENGLISH MORE PUNSIA RCD VIA GETHORE NATH MANDIR,8.44,1,1,3,1,0,0,2,0.0,0.0
306,Banka,Amarpur,2022-2023,BR03P3R04,MRL05-SH25(Baniyachak) Navtoliya to Faridpur,5.64,1,1,3,1,0,0,2,0.0,0.0
319,Banka,Banka,2018-2019,BR03RC022A,Banka-Belhar(old) Road,0.0,1,1,4,1,0,0,3,0.0,0.0
322,Banka,Banka,2021-2022,BR3RC311,O-Widening and strengthening of Banka Santhal Pargana Road Via jamdaha- Chiraiya More Se jaipur Bazar (Bihar Border) From Km- 0.000 To 20.000Km (Part A) ,20.0,1,1,7,1,0,0,6,0.0,0.0
323,Banka,Banka,2022-2023,BR03P3R06,"T09-Dudhari Chatrapal road(Hiramoti) to Narapahar Via Losna ,Choubatiya",6.37,1,1,3,1,0,0,2,0.0,0.0
326,Banka,Barahat,2019-2020,BR03P2R-02,MRL01-Bgp -dumka rd  to  bhurna,6.95,1,1,3,1,0,0,2,0.0,0.0
328,Banka,Barahat,2022-2023,BR03P3R18,MRL01-Pathara To Panchtakia,7.25,1,1,3,1,0,0,2,0.0,0.0
344,Banka,Baunsi,2019-2020,BR03P2R-03,T01-BHALJOR PWD RD VIA DUMARIYA MISSION SANPDAHAR TO DAM RD,18.66,1,1,2,1,0,0,1,0.0,0.0
352,Banka,Belhar,2022-2023,BR03P3R07,MRL04-BELHAR SANDIPI REO ROAD TO TELIYA KUMARI VIA JHIKULIYA HATHIYA,6.18,1,1,4,1,0,0,3,0.0,0.0
353,Banka,Belhar,2022-2023,BR03P3R08,MRL02-SH-22 (BELHAR BAZAR MORE TO CHIRAUTA ( JHAIJHA RCD) VIA JOLADIH,10.99,1,1,4,1,0,0,3,0.0,0.0
387,Banka,Fulli Dumar,2017-2018,BR03RC021,O-Banka- Belhar Road,32.45,1,1,2,1,0,0,1,0.0,0.0
396,Banka,Fulli Dumar,2022-2023,BR03P3R12,T01-RAMPUR DALWA RCD (FULLI DUMAR BLOCK) SE ENGLISH MORE SAMBHUGANJ RCD PATH (BHAURA MORE) VIA KAITHA DIMAI,7.63,1,1,3,1,0,0,2,0.0,0.0
420,Banka,Katoria,2020-2021,BR03R-507,L083-Kajhar To Kachnath (VR83) ,0.0,1,1,2,1,0,0,1,0.0,0.0
421,Banka,Katoria,2020-2021,BR03R-508,L023-Katoria Simultala Rd. to Dewasi (VR23) ,0.0,1,1,2,1,0,0,1,0.0,0.0
422,Banka,Katoria,2020-2021,BR03R-509,L023-Katoria Simultala Rd. to Dewasi (VR23) ,0.0,1,1,2,1,0,0,1,0.0,0.0
423,Banka,Katoria,2021-2022,BR3RC312,O-Widening and strengthening of Banka Santhal Pargana Road Via jamdaha- Chiraiya More Se jaipur Bazar (Bihar Border) From Km- 20.000 To 42.000Km (Part B) ,22.0,1,1,5,1,0,0,4,0.0,0.0
424,Banka,Katoria,2021-2022,BR3RC313,O-Widening and strengthening of Banka Santhal Pargana Road Via jamdaha- Chiraiya More Se jaipur Bazar (Bihar Border) From Km- 20.000 To 42.000Km (Part B) ,0.0,1,1,7,1,0,0,6,0.0,0.0
428,Banka,Rajaun,2021-2022,BR3RC310,O-Mahgama To Dhoraiya Road via Nawada Bazar,19.0,1,1,5,1,0,0,4,0.0,0.0
429,Banka,Rajaun,2022-2023,BR03P3R21,T15-Alipur more (Mahgama - Dhoraiya RCD Road) to Harchandi More,5.1,1,1,2,1,0,0,1,0.0,0.0
433,Banka,Shambhuganj,2018-2019,BR03RC026,Shambhuganj to Asarganj Road,8.263,2,1,1,1,0,0,1,0.0,0.0
439,Banka,Shambhuganj,2022-2023,BR03P3R15,"T11-Shambhuganj Asarganj RCD Road to Khesar Tarapur Gilani Road Via Meharpur ,Khajuri,Chhatrahar Chowk",9.6,1,1,3,1,0,0,2,0.0,0.0
448,Begusarai,Baliya,2019-2020,BR04P2R-02,MRL01-NH31 INIAR DHALA TO RAHATPUR (VR7),2.47,1,1,2,1,0,0,1,0.0,0.0
450,Begusarai,Baliya,2020-2021,BR04P3R02,"MRL16- POKHARIYA MAHTO TOLA NH31 TO NH 31 VIA BODI HARIJAN TOLA , MAJHANPUR",8.2,1,1,2,1,0,0,1,0.0,0.0
451,Begusarai,Baliya,2020-2021,BR04P3R03,MRL03-CHECHIYARI BRIZE TO BISUNPUR,5.241,2,1,1,1,0,0,1,0.0,0.0
461,Begusarai,Begusarai,2000-2001,BR0403,PWD Rd to Sarounja Maktab,2.4,1,1,2,1,0,0,1,0.0,0.0
500,Begusarai,Sahebpur Kamal,2019-2020,BR04P2R-12,MRL02-RAILWAY CROSSING NAYATOLA TO CHOKI,4.86,1,1,2,1,0,0,1,0.0,0.0
507,Bhagalpur,Bihpur,2008-2009,BR-06R-107,JAIRAMPUR - JAIRAMPUR BUND,3.4,1,1,1,1,0,0,0,0.0,0.0
545,Bhagalpur,Pirpaiti,2016-2017,BR06R344,L021-Madhopur T01 to Parsurampur (VR4) ,1.53,1,0,1,0,0,0,0,0.0,0.0
554,Bhagalpur,Rengra Chowk,2016-2017,BR06R336,L023-RCD Road T02 To Tintanga Simaria Tola (VR6) ,3.1,1,1,1,1,0,0,0,0.0,0.0
559,Bhagalpur,Sanhaula,2022-2023,BR06P3R02,MRL05-Banspur Bela Phulvariya road to Amdiha,5.105,1,1,2,1,0,0,1,0.0,0.0
564,Bhagalpur,Shahkund,2019-2020,BR06P2R-04,T01-Kiran- Kowanda road Via Mukhya Path,11.18,1,1,1,1,0,0,0,0.0,0.0
566,Bhagalpur,Shahkund,2022-2023,BR06P3R01,"T02-DINDAYALPUR (CHANDANI CHAWK) TO KAJRELI VIA,SHIOSHANKARPUR,FATEHPUR,SAJOUR BAZAR",15.45,1,1,3,1,0,0,2,0.0,0.0
568,Bhagalpur,Sultanganj,2008-2009,BR-06R-092,NH-80  - KIshanpur,13.711,2,1,2,1,0,0,0,0.0,0.0
582,Bhojpur,Arah,2022-2023,BR07P3R09,T04-T02 TO CHITKUNDI VIA KHAJURIA,9.43,1,1,3,1,0,0,2,0.0,0.0
584,Bhojpur,Arah,2022-2023,BR07P3R11,T03-NH-84 BIBIGANJ TO SARSIWAN RCD ROAD VAI PATHANPUR,5.703,1,1,3,1,0,0,2,0.0,0.0
587,Bhojpur,Bihia,2020-2021,BR07P3R01,MRL07-BIHIYA ROAD JAMUA T02 TO OSAIGANJ,7.1,1,1,3,1,0,0,2,0.0,0.0
609,Bhojpur,Shahpur,2020-2021,BR07P3R05,T01-DHAURI TO SAHPUR,13.183,1,1,3,1,0,0,2,0.0,0.0
623,Buxar,Dumraon,2017-2018,BR08R231,L047-AKAUNI TO  KHAIRAHI (LO47) ,1.5,1,1,2,1,0,0,1,0.0,0.0
642,Buxar,Rajpur,2022-2023,BR08P3R01,T01-TIYARA TO DHANSOI VIA HARPUR BANNI   (VR-1),15.19,1,1,4,1,0,0,3,0.0,0.0
646,Buxar,Simri,2022-2023,BR08P3R02,MRL02-Simri to Tilak Rai Ka Hata Via Badka Rajpur,6.487,1,1,2,1,0,0,1,0.0,0.0
715,Darbhanga,Bahadurpur,2022-2023,BR10P3R06,"MRL22-GHORGAHATA TO FATEPUR VIA MAJHOURA , KAMALPUR",5.4,1,1,2,1,0,0,1,0.0,0.0
716,Darbhanga,Bahadurpur,2022-2023,BR10P3R07,"MRL17-MIRZAPUR TO BAZIDPUR VIA KAUHI , DARHAR , KHATVE TOL",8.99,1,1,2,1,0,0,1,0.0,0.0
722,Darbhanga,Baheri,2008-2009,BR1003L024,MAHALICHOWK - CHAKLA,8.93,2,1,2,1,0,0,0,0.0,0.0
751,Darbhanga,Ghanshyampur,2022-2023,BR10P3R03,T15-Pohaddi High School To Kamla Bandh Via Tumoul Godhail,5.375,1,1,1,1,0,0,0,0.0,0.0
793,Darbhanga,Singwara,2022-2023,BR10P3R22,T05-REO Road Hariharpur To Kanaur Kushum Patti Via Kanaur Mushari Tol,5.39,1,1,1,1,0,0,0,0.0,0.0
795,Darbhanga,Tard Dih,2022-2023,BR10P3R05,T22-Mahiya Chowk (RCD) Path To Kathara Devna Vanmushari  Se Kamla Bandh Tak,5.2,1,1,1,1,0,0,0,0.0,0.0
801,East Champaran,Adapur,2022-2023,BR11P3R15,MRL10-SHYAMPUR MATIARWA PWD ROAD AT ADAPUR TO KACHORWA VIA HIRA CHHAPRA ,4.217,1,1,2,1,0,0,1,0.0,0.0
802,East Champaran,Adapur,2022-2023,BR11P3R16,T03-Lakhora Adapur Road  Bhawnari to Pakahi Andhra,13.84,2,1,1,1,0,0,1,0.0,0.0
821,East Champaran,Chakia or Pipra,2017-2018,BR11R701,L052-MADHURAPUR PWD ROAD TO DAYA CHHAPRA (VR39) ,1.903,1,1,1,1,0,0,0,0.0,0.0
824,East Champaran,Chakia or Pipra,2022-2023,BR11P3R10,MRL07-PIPRA REO ROAD TO HASNPUR VIA HARDIABAD,6.2,2,1,2,1,0,0,0,0.0,0.0
837,East Champaran,Kotwa,2020-2021,BR11P3R04,MRL06-Dumra Via Amwa Karariya To Karariya Jigar Adiyapul Road,11.95,1,1,2,1,0,0,1,0.0,0.0
838,East Champaran,Madhuban,2020-2021,BR11P3R05,MRL07-Kauriya - Dubaha,5.98,1,1,2,1,0,0,1,0.0,0.0
839,East Champaran,Mehsi,2019-2020,BR11P2R-07,L021- Mehasi Gumati-Bishambharpur Road Rampur Shankar to Chauriya ,5.838,1,1,2,1,0,0,1,0.0,0.0
840,East Champaran,Mehsi,2022-2023,BR11P3R14,MRL03-Motihari-Muzaffarpur NH1 to Gorbua Tola Via Mohabat Chapra,6.9,1,1,2,1,0,0,1,0.0,0.0
848,East Champaran,Narkatia  or  Chhauradano,2022-2023,BR11P3R17,MRL03-PWD Road Bela to Lohdiha Road,8.29,2,1,1,1,0,0,1,0.0,0.0
861,East Champaran,Ramgarhwa,2019-2020,BR11P2R-11,T04-NH-28  to Kharkatwa,5.439,1,1,2,1,0,0,1,0.0,0.0
862,East Champaran,Ramgarhwa,2022-2023,BR11P3R19,MRL15-NH 28A AT MURLA TO SISWANIA VIA GANDHI GRAM  KUST COLONY,5.761,1,1,1,1,0,0,0,0.0,0.0
875,East Champaran,Tetaria,2020-2021,BR11P3R09,MRL03-Tetria To Manirpur Birta Tola,5.16,1,1,2,1,0,0,1,0.0,0.0
901,Gaya,Banke Bazar,2022-2023,BR12RC338A,Lutua- Lutua Asurain Road.,0.0,1,1,4,1,0,0,3,0.0,0.0
918,Gaya,Belaganj,2020-2021,BR12R-1122,L098 - Men Road to Panda Bigha (TRACK98),0.0,1,1,1,1,0,0,0,0.0,0.0
926,Gaya,Dobhi,2020-2021,BR12R-1126,L022-T02 TO GANGI (VR2) ,0.0,1,1,1,1,0,0,0,0.0,0.0
960,Gaya,Imamganj,2019-2020,BR12P2R-10,T01-T03 to Sewti bara Via Kalami,0.0,1,1,1,1,0,0,0,0.0,0.0
981,Gaya,Manpur,2013-2014,BR12R567,L046 - Amra T04 To Bagahi Kala H. Toli (ODR46),2.035,1,1,2,1,0,0,1,0.0,0.0
991,Gaya,Mohanpur,2020-2021,BR12R-1144,L080-Lakhaipur to Jai Nagar (VR61) ,0.0,1,1,1,1,0,0,0,0.0,0.0
992,Gaya,Paraiya,2013-2014,BR12R590,L090-Lakshman Bigha to Vinoba Nagar Dalit Tola (VR90),1.324,1,1,1,1,0,0,0,0.0,0.0
994,Gaya,Sherghati,2008-2009,BR-12R-158,Sherghati Neema Road - Ghaghat,3.034,1,1,2,1,0,0,1,0.0,0.0
998,Gaya,Sherghati,2020-2021,BR12R-1145,L055-T01 TO NIMAN (VR35) ,0.0,1,1,1,1,0,0,0,0.0,0.0
1010,Gopalganj,Baikunthpur,2022-2023,BR13P3R04,T02-PMGSY SADAK MATHIYA TO SARODAY TOLA TAK (VR39),18.2,1,1,4,1,0,0,3,0.0,0.0
1011,Gopalganj,Baikunthpur,2022-2023,BR13P3R05,MRL14-KAHAIRA AZAM TO BHIMPURWA via PARSAUNI,5.85,1,1,4,1,0,0,3,0.0,0.0
1013,Gopalganj,Barauli,2022-2023,BR13P3R06,MRL15-HALUAR TO NAYA TOLA BARHEYA,5.37,1,1,2,1,0,0,1,0.0,0.0
1014,Gopalganj,Barauli,2022-2023,BR13P3R07,MRL14-SARAIYA PAHARIYA TO SADAUWA RD,7.925,1,1,3,1,0,0,2,0.0,0.0
1015,Gopalganj,Barauli,2022-2023,BR13P3R08,T01-BAREHA TO LARAULI (ODR1),12.2,1,1,3,1,0,0,2,0.0,0.0
1024,Gopalganj,Kuchaikot,2022-2023,BR13P3R01,"MRL12-NH DHORWALIYA TO JAITNARHAWA PMGSY  ROAD TAK VIA BANKATA  ,PHULWARIA",6.6,1,1,3,1,0,0,2,0.0,0.0
1026,Gopalganj,Kuchaikot,2022-2023,BR13P3R03,"MRL11-NH   28 BHATWA MORE SE DHOBWALIA VIA  SISWA , BISHUNPUR",10.7,2,1,3,1,0,0,1,0.0,0.0
1035,Gopalganj,Manjha,2022-2023,BR13P3R09,MRL09- KURMI TOLA TO KHEDU CHHAPAR,5.625,2,1,3,1,0,0,1,0.0,0.0
1036,Gopalganj,Manjha,2022-2023,BR13P3R10,MRL10-AHIR TOLA MIYA TOLA,6.43,1,1,5,1,0,0,4,0.0,0.0
1037,Gopalganj,Manjha,2022-2023,BR13P3R11,MRL02-Dhobwaliat04 To Chitauli (Vr14),7.2,2,1,3,1,0,0,1,0.0,0.0
1052,Gopalganj,Sidhwalia,2022-2023,BR13P3R12,MRL11-bishunpur to matauli via chand purna ,7.26,2,1,2,1,0,0,0,0.0,0.0
1056,Gopalganj,Vijaypur,2022-2023,BR13P3R13,T01-MADARGHAT TO BADHARA DHUSWA CHAWRAHA,12.333,1,1,4,1,0,0,3,0.0,0.0
1135,Jamui,Chakai,2017-2018,BR15RC028,Pandedih- Lahawan Road (Part of Jamui District),10.05,1,1,2,1,0,0,1,0.0,0.0
1187,Jamui,Jamui,2022-2023,BR15RC349,Jamui Polytechnic Road to Katauna NH-33 via. Sikariya Road,0.0,1,1,7,1,0,0,6,0.0,0.0
1188,Jamui,Jamui,2022-2023,BR15RC349A,O-Jamui Polytechnic Road to Katauna NH-33 via. Sikariya Road,0.0,1,1,5,1,0,0,4,0.0,0.0
1189,Jamui,Jamui,2022-2023,BR15RC350,Jamui Polytechnic Road to Katauna NH-33 via. Sikariya Road,0.0,1,1,7,1,0,0,6,0.0,0.0
1207,Jamui,Jhajha,2019-2020,BR15RC207,Jhajha- Parasi-Amkoliya-Dudhrwara-Jurpania-Gayanbathan-Golnitand Road,27.97,1,1,1,1,0,0,0,0.0,0.0
1233,Jamui,Khaira,2019-2020,BR15RC286,O-Badhibagh To Mangobandar (Hardi To Moh),0.0,1,1,6,1,0,0,5,0.0,0.0
1268,Jamui,Sono,2019-2020,BR15RC273,O-Batia-Binjhi-Bojhayat Road,0.0,1,1,1,1,0,0,0,0.0,0.0
1286,Kaimur (Bhabhua),Adhaura,2017-2018,BR05R364,L046-L031 to harbhog (VR23) ,6.75,1,1,1,1,0,0,0,0.0,0.0
1287,Kaimur (Bhabhua),Adhaura,2017-2018,BR05R365,L034-L030  to Chafna (VR13) ,4.1,1,1,1,1,0,0,0,0.0,0.0
1290,Kaimur (Bhabhua),Adhaura,2017-2018,BR05R369,L042-L027 to Jotdag (VR20) ,2.1,1,1,1,1,0,0,0,0.0,0.0
1292,Kaimur (Bhabhua),Adhaura,2017-2018,BR05R371,L040-T01 to Amraha (VR19) ,17.55,1,1,1,1,0,0,0,0.0,0.0
1295,Kaimur (Bhabhua),Adhaura,2017-2018,BR05R375,L035-T01 to baradih (VR14) ,3.2,1,1,1,1,0,0,0,0.0,0.0
1299,Kaimur (Bhabhua),Adhaura,2018-2019,BR05R-388,L069-L037 to BAHER BADIH,3.1,1,1,1,1,0,0,0,0.0,0.0
1323,Kaimur (Bhabhua),Durgawati,2020-2021,BR05P3R01,MRL02-KHAJURA RAMGARH ROAD,14.49,1,1,2,1,0,0,1,0.0,0.0
1324,Kaimur (Bhabhua),Kudra,2019-2020,BR05P2R-02,MRL01-NH-30 KUDRA TO PARSTHUA ROAD,10.65,1,1,2,1,0,0,1,0.0,0.0
1325,Kaimur (Bhabhua),Kudra,2020-2021,BR05P3R02,T05-KUDAR - PARSATHUA ROAD CHATURBHUJ ASTHAN DUMARI TO NH-30 VIA OJHWALIA,5.44,1,1,3,1,0,0,2,0.0,0.0
1327,Kaimur (Bhabhua),Mohania,2022-2023,BR05P3R08,MRL02-NH-30 TO BAHUARA TO KATSARAIYA,6.68,1,1,2,1,0,0,1,0.0,0.0
1331,Kaimur (Bhabhua),Nuawan,2020-2021,BR05P3R05,"MRL07-RAMPUR BUNGLOW TO NH-30 (ARA - MOHANIA ROAD) VIA KONHARA, KOCHHILA",10.35,1,1,3,1,0,0,2,0.0,0.0
1337,Kaimur (Bhabhua),Ramgarh,2020-2021,BR05P3R06,MRL11-LAHURBARI KARIRAM ROAD TO MAPATPUR VIA GAURADIH,7.617,1,1,3,1,0,0,2,0.0,0.0
1338,Kaimur (Bhabhua),Ramgarh,2020-2021,BR05P3R07,"T01-RAMGARH DURGAWATI PWD ROAD TO DEVHALIYA PWD ROAD VIA JALDAHA, IMALIYA, SARAI",7.83,1,1,3,1,0,0,2,0.0,0.0
1339,Kaimur (Bhabhua),Ramgarh,2022-2023,BR05P3R09,MRL12-NH-30 LAHURBARI TO KARIRAM PART,6.84,1,1,2,1,0,0,1,0.0,0.0
1347,Katihar,Ajamnagar,2013-2014,BR16R153, JHAUA - GARARUA,0.0,1,1,2,1,0,0,1,0.0,0.0
1375,Katihar,Barari,2020-2021,BR16R-382,L135-L089 TO TARIYANI (VR135) ,0.0,1,1,2,1,0,0,1,0.0,0.0
1376,Katihar,Barari,2020-2021,BR16R-383,L084-L080 TO RANICHAK (TRACK103),0.0,1,1,1,1,0,0,0,0.0,0.0
1386,Katihar,Barsoi,2022-2023,BR16P3R02,T01-BANGAL BAJURIA SIMAN TO JAVADPUR (VR1),15.45,1,1,3,1,0,0,2,0.0,0.0
1387,Katihar,Dandkhora,2013-2014,BR16R166,BASTOUL-SONAILI PWD ROAD - MAHESHPUR VIA MAKHNA JHUNKI,0.0,1,1,1,1,0,0,0,0.0,0.0
1388,Katihar,Dandkhora,2013-2014,BR16R167,BASTOUL-SONAILI PWD ROAD - MAHESHPUR VIA MAKHNA JHUNKI,0.0,1,1,1,1,0,0,0,0.0,0.0
1391,Katihar,Falka,2022-2023,BR16P3R09,"MRL19-MORSANDA MORE TO PHULDOBHI VIA DAYALPUR , MAGHELI",10.75,1,1,2,1,0,0,1,0.0,0.0
1400,Katihar,Kadwa,2019-2020,BR16P2R-06,MRL02-Sonaili-Belauri PWD Road To Geriaghat,3.165,1,1,1,1,0,0,0,0.0,0.0
1414,Katihar,Korha,2020-2021,BR16R-390,L084-PMGSY ROAD VINODPUR TO BENGALI TOLA (VR84) ,0.0,1,1,1,1,0,0,0,0.0,0.0
1436,Katihar,Pranpur,2020-2021,BR16R-397,L032-T02 TO AMDAUL (TRACK12) ,0.0,1,1,2,1,0,0,1,0.0,0.0
1493,Khagaria,Gogari,2022-2023,BR17P3R01,MRL04-Nh31 dewtha bajrangbali asthan navtoliya paikant parharhpur,13.91,1,1,2,1,0,0,1,0.0,0.0
1508,Khagaria,Parbatta,2022-2023,BR17P3R02,MRL13-Kulhariya karna path to BHORKATH SOUTH Via thai kinara tola,6.0,1,1,3,1,0,0,2,0.0,0.0
